Reference	Year	Sample.ID	SiO2.liq	TiO2.liq	Al2O3.liq	FeOt.liq	MnO.liq	MgO.liq	CaO.liq	Na2O.liq	K2O.liq	Cr2O3.liq	P2O5.liq	H2O.liq	SiO2.cpx	TiO2.cpx	Al2O3.cpx	FeOt.cpx	MnO.cpx	MgO.cpx	CaO.cpx	Na2O.cpx	K2O.cpx	Cr2O3.cpx	P_GPa	T_K
"Thy, P., Lesher, C.E., and Fram, M.S. (2004)"	2004	11R4-10	51	3.43	12.2	15.04	0.26	5.06	9.85	2.7	0.24		0.23		51.3	0.92	3.75	9.42	0.27	15.1	19.36	0.27		0.25	0.0001	1421.15
"Thy, P., Lesher, C.E., and Fram, M.S. (2004)"	2004	11R4-11	50.2	3.83	11.92	15.14	0.31	5.27	9.31	2.3	0.29	0.07	0.3		50.4	0.9	3.86	9.59	0.2	14.8	19.76	0.31		0.23	0.0001	1409.15
"Thy, P., Lesher, C.E., and Fram, M.S. (2004)"	2004	11R4-12	48.9	5.07	11.62	15.24	0.26	4.68	8.9	2.51	0.38	0.05	0.41		50.3	0.93	3.36	9.83	0.2	15.16	19.39	0.27		0.19	0.0001	1403.15
"Thy, P., Lesher, C.E., and Fram, M.S. (2004)"	2004	11R4-6	50.7	2.12	13.75	13.33	0.23	6.41	11.2	2.65	0.17	0.07	0.16		51.3	0.75	3.66	8.05	0.18	15.66	20.35	0.25		0.51	0.0001	1450.15
"Thy, P., Lesher, C.E., and Fram, M.S. (2004)"	2004	11R4-7	50.4	1.98	13.51	13.59	0.23	6.32	10.4	2.77	0.17	0.09	0.15		51.2	0.84	3.8	8.39	0.19	15.68	19.56	0.27		0.34	0.0001	1441.15
"Thy, P., Lesher, C.E., and Fram, M.S. (2004)"	2004	11R4-9	50.2	2.7	12.77	14	0.24	5.65	10.2	2.79	0.27	0.05	0.2		50.5	0.84	3.59	8.92	0.21	15.56	19.46	0.27		0.3	0.0001	1431.15
"Thy, P., Lesher, C.E., and Fram, M.S. (2004)"	2004	86R7-10	51.9	2.72	13.44	14.16	0.21	5.07	9.56	3.04	0.81		0.32		51.4	0.72	2.21	8.88	0.21	16.5	19.56	0.3		0.18	0.0001	1421.15
"Thy, P., Lesher, C.E., and Fram, M.S. (2004)"	2004	86R7-11	52	2.67	12.98	14.13	0.25	5.06	9.34	2.65	0.74		0.31		51.6	0.72	2.3	8.9	0.22	16.26	19.48	0.29		0.14	0.0001	1409.15
"Thy, P., Lesher, C.E., and Fram, M.S. (2004)"	2004	86R7-12	52.4	3.04	12.89	13.51	0.23	4.63	8.62	2.73	0.94		0.4		51.1	0.86	2.01	9.63	0.23	16.09	19.26	0.27		0.06	0.0001	1403.15
"Thy, P., Lesher, C.E., and Fram, M.S. (2004)"	2004	86R7-6	50.8	1.57	14.23	11.82	0.25	6.53	11.23	2.85	0.48		0.2		52.2	0.53	2.18	7.01	0.18	16.56	20.31	0.28		0.56	0.0001	1450.15
"Thy, P., Lesher, C.E., and Fram, M.S. (2004)"	2004	86R7-7	50.9	1.75	14.08	12.19	0.22	5.96	10.43	3.19	0.57		0.18		52.2	0.61	2.47	7.62	0.2	16.29	18.97	0.28		0.15	0.0001	1441.15
"Thy, P., Lesher, C.E., and Fram, M.S. (2004)"	2004	86R7-8	51.5	3.83	12.62	14.42	0.23	3.76	7.72	2.48	1.34		0.63		51.1	0.94	2.03	11.65	0.27	15.17	18.31	0.39			0.0001	1384.15
"Thy, P., Lesher, C.E., and Fram, M.S. (2004)"	2004	86R7-9	50.9	2.36	13.64	13.57	0.2	5.47	9.94	3.05	0.67		0.25		51.4	0.56	2.34	7.64	0.16	16.04	20.23	0.29		0.38	0.0001	1431.15
Thy (2006)	2006	1	48.6	2.41	13.51	14	0.25	6.39	11.52	1.92	0.81		0.21		50.6	0.87	3.44	8.43	0.16	15.54	19.69	0.23			0.0001	1436.15
Thy (2006)	2006	2	48.1	2.63	13.01	14.48	0.24	5.95	11.12	1.92	0.83		0.24		50.5	0.81	3.18	9.03	0.21	15.88	19.38	0.2			0.0001	1427.15
Thy (2006)	2006	3	48.7	2.73	12.93	15.51	0.23	5.63	10.8	1.91	0.83		0.25		51.1	0.94	3.61	9.94	0.24	15.95	18.82	0.23			0.0001	1417.15
Thy (2006)	2006	4	48.1	3.22	12.72	15.59	0.2	5.06	10.25	2.02	1.2		0.34		51.4	1.03	3.08	10.35	0.23	15.01	18.97	0.22			0.0001	1408.15
Thy (2006)	2006	5	48.2	3.43	12.53	16.37	0.24	4.81	9.94	2.02	1.25		0.32		50.8	1.21	3.17	10.77	0.27	14.48	18.56	0.22			0.0001	1399.15
Thy (2006)	2006	6	48.6	3.91	12.19	16.54	0.21	4.21	9.49	2.05	1.36		0.34		51.7	1.27	2.74	11.27	0.24	14.36	18.61	0.19			0.0001	1390.15
Thy (2006)	2006	7	48.8	4.32	12.08	16.76	0.24	4.13	9.18	2	1.42		0.36		51.5	1.26	2.81	12.78	0.24	14.39	18.01	0.2			0.0001	1470.15
Thy (2006)	2006	8	49.9	1.69	14.57	10.89	0.27	7.99	12.64	2.24	0.25		0.17		52.1	0.55	2.98	6.02	0.12	17.08	21.06	0.23			0.0001	1474.15
Thy (2006)	2006	9	49.4	2.2	13.93	11.9	0.2	7.15	12.17	2.22	0.3		0.2		52	0.72	2.43	8.14	0.18	16.6	19.32	0.26			0.0001	1452.15
Thy (2006)	2006	10	48.6	2.79	12.93	13.91	0.2	6.07	10.66	2.61	0.43		0.28		50.5	0.87	3.38	8.68	0.19	16.09	20.01	0.24			0.0001	1434.15
Thy (2006)	2006	11	48.1	4.03	12.04	15.89	0.28	4.81	9.61	2.35	0.69		0.44		50.8	0.9	3.07	8.81	0.2	15.59	19.84	0.25			0.0001	1411.15
Thy (2006)	2006	12	48.2	2.52	13.13	14.12	0.26	6.39	11.43	2.34	0.43		0.24		50.6	0.96	3.68	8.38	0.22	16.1	19.17	0.25			0.0001	1436.15
Thy (2006)	2006	13	48.4	2.68	12.69	14.99	0.3	6.04	10.97	2.43	0.47		0.22		50.3	0.92	3.53	8.8	0.2	16.02	18.24	0.26			0.0001	1427.15
Thy (2006)	2006	14	48	2.99	12.43	15.96	0.26	5.69	10.75	2.38	0.47		0.27		50.7	0.8	2.89	9.56	0.24	16.09	18.26	0.26			0.0001	1417.15
Thy (2006)	2006	15	47.8	3.26	12.18	16.47	0.26	3.33	10.41	2.26	0.63		0.29		51.1	0.91	2.49	10.3	0.24	15.54	18.79	0.23			0.0001	1408.15
Thy (2006)	2006	16	47.7	3.86	11.78	17.25	0.27	4.78	9.94	2.45	0.73		0.31		50.3	1.16	2.77	11.53	0.24	15	17.95	0.23			0.0001	1399.15
Thy (2006)	2006	17	47.4	4.37	11.45	17.26	0.26	4.31	9.76	2.32	0.71		0.43		50.7	1.16	2.33	11.61	0.28	14.72	18.28	0.24			0.0001	1390.15
Thy (2006)	2006	18	47.1	4.92	11.04	18.79	0.31	4.53	9.43	2.26	0.7		0.49		51.3	0.9	1.95	12.95	0.29	14.44	17.2	0.23			0.0001	1379.15
Thy (2006)	2006	19	47.7	3.01	12.47	14.51	0.25	5.81	10.65	2.56	0.45		0.3		50.4	1.09	3.78	8.99	0.16	15.41	19.32	0.35			0.0001	1434.15
Thy (2006)	2006	20	47.9	4.59	11.14	17.52	0.29	4.2	9.33	2.41	0.75		0.58		50.8	1.14	1.93	14.08	0.31	14.86	16.27	0.23			0.0001	1389.15
Thy (2006)	2006	21	47.7	3.11	12.94	15.87	0.23	5.81	10.44	2.37	0.45		0.35		49.4	1.41	4.32	11.27	0.24	14.39	18.07	0.28			0.0001	1417.15
Thy (2006)	2006	22	47.6	3.87	12.52	17.4	0.25	5.4	10.06	2.52	0.56		0.42		49.7	1.52	3.55	12.64	0.3	14.01	18.79	0.24			0.0001	1408.15
Thy (2006)	2006	23	46.8	4.14	12.06	18.07	0.26	5.06	9.87	2.57	0.58		0.42		49.4	1.46	3.38	13.06	0.29	13.96	18.11	0.19			0.0001	1399.15
Thy (2006)	2006	24	46.2	4.5	11.79	18.66	0.28	4.66	9.58	2.48	0.61		0.47		50.6	1.24	2.5	11.65	0.21	14.95	18.64	0.29			0.0001	1390.15
Thy (2006)	2006	25	47	5.13	11.07	19.49	0.32	4.37	9.77	2.19	0.63		0.71		51.5	0.9	2.31	12.71	0.35	14.21	18.57	0.21			0.0001	1380.15
Thy (2006)	2006	26	47.5	4.21	11.84	15.84	0.23	5.19	9.88	2.46	0.44		0.42		50.2	1.16	2.52	11.27	0.26	15.27	18.39	0.24			0.0001	1411.15
Thy (2006)	2006	27	48.2	5.2	11.56	16.64	0.22	4.78	9.4	2.54	0.58		0.56		51.2	1.26	2.15	11.9	0.32	15.65	17.57	0.23			0.0001	1390.15
Thy (2006)	2006	28	48.5	5.17	11.33	16.91	0.28	4.49	9.02	2.55	0.67		0.59		51.4	1.24	2.14	13.01	0.29	16.24	16.05	0.23			0.0001	1379.15
Thy (2006)	2006	29	48.6	4.39	12.01	16.87	0.25	5.08	9.76	2.48	0.59		0.36		50.2	1.01	2.89	10.13	0.22	15.1	19.59	0.3			0.0001	1411.15
Toplis & Carroll (1995)	1995	1	48.2	4.2	11.8	15.73		5.17	10.56	2.57	0.55				49.7	1.96	3.73	10.94		14.23	19.75	0.32			0.0001	1403.15
Toplis & Carroll (1995)	1995	2	49	4.1	11.82	15.18		5.18	10.9	2.6	0.47				51.4	1.48	3.33	9.15		14.32	20.47	0.28			0.0001	1398.15
Toplis & Carroll (1995)	1995	3	48.6	4.35	11.82	15.06		5.03	10.6	2.63	0.47				51.5	1.6	3.5	9.2		14.3	20.5	0.28			0.0001	1398.15
Toplis & Carroll (1995)	1995	4	49	4.62	11.68	15.74		4.69	9.71	2.79	0.58				51.2	1.7	3.2	9.8		14.1	20.1	0.28			0.0001	1388.15
Toplis & Carroll (1995)	1995	5	48.3	4.45	11.58	16.03		4.71	8.8	2.73	0.53				51.5	1.4	2.6	10.3		14.49	19.51	0.27			0.0001	1388.15
Toplis & Carroll (1995)	1995	6	48.7	5.1	11.15	16.3		4.23	9.3	2.9	0.57				50.3	1.98	2.81	10.79		13.68	19.65	0.28			0.0001	1378.15
Toplis & Carroll (1995)	1995	7	48.4	4.4	12.12	14.87		4.93	10.8	2.66	0.59				50.6	2.19	4.01	8.69		13.7	20.89	0.29	0.01		0.0001	1399.15
Toplis & Carroll (1995)	1995	8	48.1	5.16	11.23	16.33		4.27	9.93	2.78	0.62				50.4	2.57	3.48	10.21		13.16	20.36	0.3			0.0001	1383.15
"Tormey, D.R., Grove, T.L., Bryan, W.B. (1987)"	1987	II78-3-102-24	51.3	2.21	13.1	11.8	0.22	6.82	11.1	2.59	0.19	0.03	0.22		52.7	0.64	2.2	6.65	0.16	16.9	20.2	0.27		0.68	0.0001	1436.15
"Tormey, D.R., Grove, T.L., Bryan, W.B. (1987)"	1987	II78-3-102-4	48.8	2.22	13.8	12.5	0.26	6.35	11.3	3.27	0.19	0.06			51.7	0.8	2.95	7.21	0.15	16.3	20.3	0.32		0.68	0.0001	1434.15
"Tormey, D.R., Grove, T.L., Bryan, W.B. (1987)"	1987	II96-18-1-15	50.9	2.62	12.5	13.1	0.25	6.01	10.4	2.97	0.18	0.03	0.24		52.1	0.73	2.2	7.2	0.2	17	19.5	0.24		0.35	0.0001	1426.15
"Tormey, D.R., Grove, T.L., Bryan, W.B. (1987)"	1987	II96-18-1-3	51.3	2.14	17.6	10.3	0.2	4.78	9.24	3.99	0.22		0.21		49.7	1.08	5.1	5.33	0.06	14.4	23	0.49		0.14	0.02	1448.15
"Tormey, D.R., Grove, T.L., Bryan, W.B. (1987)"	1987	II96-18-1-4	50.4	2.15	13.5	11.2	0.24	6.73	11.1	3.27	0.17	0.02			51.5	0.69	2.61	6.23	0.18	16.9	20.3	0.29		0.7	0.0001	1444.15
"Tormey, D.R., Grove, T.L., Bryan, W.B. (1987)"	1987	II96-18-1-5	50.2	2.71	13	12.6	0.25	6.17	10.3	3.5	0.22	0.03			51.5	0.92	3	7.56	0.23	16	19.6	0.34		0.37	0.0001	1425.15
"Tormey, D.R., Grove, T.L., Bryan, W.B. (1987)"	1987	II96-6-42-3	52.2	2.38	16.4	10.3	0.1	4.5	9.02	4.17	0.57		0.38		50.7	1.05	4.62	5.89	0.11	14.1	21.9	0.52		0.22	0.02	1463.15
"Tsuruta, K., Takahashi, E. (1998)"	1998	1	52.8	1.5	13.86	7.31	0.13	5.43	9.09	2.63	1.8	0.05	0.3		49.2	1.01	3.27	7.21	0.19	15.86	19.87	0.2	0.02	0.21	0.0001	1398.15
"Tsuruta, K., Takahashi, E. (1998)"	1998	P174	55	1.38	15.39	7.56	0.13	4.82	7.77	3.12	1.69	0.02	0.33		49.9	0.92	7.34	7.63	0.21	17.03	13.07	0.65	0.01	0.28	1	1548.15
"Tsuruta, K., Takahashi, E. (1998)"	1998	P182	56.2	1.51	14.71	7.87	0.12	5.48	7.66	2.93	1.8	0.04	0.35		51.2	0.49	10.21	6.37	0.17	13.21	13.33	2.4	0.04	0.22	3	1773.15
"Tsuruta, K., Takahashi, E. (1998)"	1998	P194	68.5	1.54	15.01	2.23	0.03	0.69	2.37	2.37	2.73	0.02			51	1.47	15.58	5.91	0.01	7.51	13.71	4.74	0.01	0.04	3	1473.15
"Ulmer, P., and Sweeny, R.J. (2002)"	2002	474	26.2	2	6.28	5.73	0.2	13.84	13.17	1.94	7.71	0.16			52.9	0.53	3.71	4.86	0.17	18.72	17.43	0.94	0.18	0.64	2.5	1523.15
"Villiger, S., Ulmer, P., Muntener, O., and Thompson, A.B. (2004)"	2004	SV13	48.2	0.67	15.91	7.13	0.16	11.33	12.67	1.66	0.08	0.19			52.6	0.26	4.98	4.05	0.15	19.62	18.09	0.32	0.01	1.26	1	1513.15
"Villiger, S., Ulmer, P., Muntener, O., and Thompson, A.B. (2004)"	2004	SV15	47.2	0.65	17.76	7.59	0.22	9.79	11.48	2.05	0.09	0.09			52	0.41	5.96	4.95	0.17	18.95	17.47	0.42	0.01	0.54	1	1483.15
"Villiger, S., Ulmer, P., Muntener, O., and Thompson, A.B. (2004)"	2004	SV24	51.7	0.81	19.45	7.02	0.14	5.1	8.72	3.13	0.19	0.02			49.8	0.62	8.05	5.95	0.19	15.74	19.2	0.51	0.01	0.51	1	1363.15
"Villiger, S., Ulmer, P., Muntener, O., and Thompson, A.B. (2004)"	2004	SV25	50.2	0.76	18.88	7.17	0.2	5.96	9.35	2.89	0.17	0.02			50.6	0.49	8.13	5.44	0.18	16.31	19.29	0.52	0.01	0.49	1	1393.15
"Villiger, S., Ulmer, P., Muntener, O., and Thompson, A.B. (2004)"	2004	SV27	49.8	0.72	18.53	7.3	0.13	8.54	10.73	2.18	0.12	0.08			51.3	0.3	7.1	4.89	0.14	17.89	17.87	0.44	0.01	1	1	1453.15
"Villiger, S., Ulmer, P., Muntener, O., and Thompson, A.B. (2004)"	2004	SV28	49.8	0.78	19.36	7.13	0.17	7.38	10.31	2.55	0.15	0.03			50.5	0.41	7.69	5.14	0.16	16.95	19.04	0.47	0.01	0.46	1	1423.15
"Villiger, S., Ulmer, P., Muntener, O., and Thompson, A.B. (2004)"	2004	SV49	48.7	0.57	14.26	6.57	0.15	11.95	11.87	1.76	0.1	0.24			52.4	0.21	5.39	4.18	0.12	20.15	16.94	0.35	0.01	1.23	1	1543.15
"Villiger, S., Ulmer, P., Muntener, O., and Thompson, A.B. (2004)"	2004	SV53	50.6	0.71	16.73	7.66	0.15	8.72	11.13	2.3	0.14	0.04			52.7	0.23	5.99	5.64	0.15	19.19	15.19	0.45	0.02	0.6	1	1513.15
"Villiger, S., Ulmer, P., Muntener, O., and Thompson, A.B. (2004)"	2004	SV54	51.6	0.88	17.27	8.4	0.13	6.88	10.26	2.82	0.2	0.01			52	0.46	6.26	7.56	0.17	16.33	17.15	0.57	0.01	0.17	1	1483.15
"Villiger, S., Ulmer, P., Muntener, O., and Thompson, A.B. (2004)"	2004	SV57	52.2	0.91	17.57	8.2	0.14	5.9	9.34	3.26	0.26	0.02			50.5	0.7	6.16	9.35	0.19	16.18	16.01	0.6	0.01	0.04	1	1453.15
"Villiger, S., Ulmer, P., Muntener, O., and Thompson, A.B. (2004)"	2004	SV58	55.9	1.34	16.02	9.73	0.14	3.74	7.14	3.85	0.54	0.01			51.5	0.66	4.03	12.89	0.29	14.61	15.78	0.65	0.01	0.03	1	1423.15
"Villiger, S., Ulmer, P., Muntener, O., and Thompson, A.B. (2004)"	2004	SV61	60.7	1.91	13.81	8.7	0.13	1.63	5.03	4.09	0.85	0.02			50.9	0.97	2.44	17.88	0.38	12.12	15.25	0.59	0.01	0.06	1	1393.15
"Villiger, S., Ulmer, P., Muntener, O., and Thompson, A.B. (2004)"	2004	SV63	63.1	2.01	13.14	8.13	0.14	1.19	4.4	4.16	1.09	0.01			50.1	1.3	2.24	19.73	0.42	9.63	15.56	0.52	0.02	0.04	1	1363.15
"Villiger, S., Ulmer, P., Muntener, O., and Thompson, A.B. (2004)"	2004	SV64	65.7	1.32	12.27	7.53	0.14	0.58	3.32	4.13	2.15	0.02			48.7	0.85	1.82	26.32	0.63	7.89	12.75	0.39	0.03	0.03	1	1333.15
Villiger (2007)	2007	1	50.7	0.72	16.91	7.69	0.21	8.72	12.26	2.13	0.11				52.5	0.25	5.08	5.64	0.22	19.86	16.53	0.31			0.7	1483.15
Villiger (2007)	2007	2	52.1	1.14	16.76	8.1	0.17	7.05	10.53	2.81	0.17				53.3	0.37	3.61	6.26	0.21	18.78	17.5	0.4	0.01		0.7	1453.15
Villiger (2007)	2007	3	54.7	1.47	14.86	7.99	0.16	4.7	9.06	3.07	0.31				52.8	0.46	2.51	7.72	0.19	18.44	16.68	0.35	0.01		0.7	1423.15
Villiger (2007)	2007	4	51	0.6	14.84	7.28	0.13	10.67	12.19	1.94	0.14				52.3	0.26	4.24	4.01	0.11	19.98	18.11	0.31			0.7	1513.15
Villiger (2007)	2007	5	51.2	0.73	15.95	7.98	0.14	7.92	11.71	2.51	0.21				51.9	0.28	4.3	5.98	0.17	18.86	17.78	0.37	0.01		0.7	1483.15
Villiger (2007)	2007	6	51.8	0.95	15.77	9.82	0.16	7.2	10.22	2.88	0.31				52.6	0.42	3.59	7.61	0.19	17.72	18.52	0.38	0.01		0.7	1453.15
Villiger (2007)	2007	7	52.6	1.77	14.78	12.35	0.19	4.32	8.22	3.47	0.74				51.7	0.73	2.5	13.9	0.36	16.62	14.34	0.37	0.01		0.7	1423.15
Villiger (2007)	2007	8	53.1	2.54	13.65	14.42	0.22	2.9	6.91	3.6	1.25				50.8	0.89	2.13	19.19	0.42	14.5	12.88	0.3	0.01		0.7	1393.15
"Wagner, T.P., Grove, T.L. (1998)"	1998	11	46.6	2.4	13.2	12.7	0.2	11.7	9.7	2.1	0.34	0.07	0.33		53.4	0.37	5.6	9.3	0.15	23.3	8.2	0.5		0.01	2.03	1663.15
"Wagner, T.P., Grove, T.L. (1998)"	1998	13	45.4	3.08	14.2	13.1	0.2	9.6	9.4	2.8	0.48	0.01	0.41		50.7	0.62	7.7	9.5	0.16	20	10.5	0.7		0.08	1.78	1633.15
"Wagner, T.P., Grove, T.L. (1998)"	1998	9	45.3	3.6	14.48	13.8	0.15	9.8	9	2.8	0.59		0.48		51.3	0.74	8.2	10.3	0.15	20.1	9.2	0.87		0.05	1.95	1633.15
"Walter, M.J. (1998)"	1998	30.07	46.7	0.7	13.06	8.75	0.18	17.58	10.92	0.93	0.41	0.35			52.1	0.11	7.5	4.72	0.14	24.45	9.72	0.45		0.91	3	1803.15
"Walter, M.J. (1998)"	1998	30.12	46.2	0.91	13.32	9.55	0.18	16.9	10.69	0.96	0.56	0.31			52.5	0.13	8.07	4.87	0.14	23.67	10.16	0.45		0.81	3	1788.15
"Walter, M.J. (1998)"	1998	40.06	46.4	1.45	9.81	10.65	0.2	18.58	10.31	0.93	0.83	0.33			54.4	0.09	4.89	5.36	0.14	26.74	7.5	0.53		0.47	4	1863.15
"Walter, M.J. (1998)"	1998	40.07	45.5	1.27	10.35	10.65	0.19	19.89	9.31	1.08	0.7	0.25			54.3	0.07	5.56	5.08	0.13	26.47	7.37	0.59		0.61	4	1883.15
"Wasylenki, L.E., Baker, M.B., Kent, A.J.R., Stolper, E.M. (2003)"	2003	12	48.9	0.41	17.61	6.84	0.16	11.72	13.21	0.84	0.14	0.19			52.5	0.08	5.23	3.8	0.12	20	17.8	0.15		1.15	1	1563.15
"Wasylenki, L.E., Baker, M.B., Kent, A.J.R., Stolper, E.M. (2003)"	2003	17T	48.8	0.39	16.89	7.28	0.14	12.14	12.85	1.14	0.17	0.19			52.1	0.11	5.47	3.83	0.11	20.03	17.39	0.21		1.02	1	1573.15
"Wasylenki, L.E., Baker, M.B., Kent, A.J.R., Stolper, E.M. (2003)"	2003	22	48.1	0.39	17.73	7.07	0.18	12.02	13.32	0.96	0.08	0.17			50.9	0.12	6.27	3.91	0.1	19.95	16.82	0.14		1	1	1573.15
"Wasylenki, L.E., Baker, M.B., Kent, A.J.R., Stolper, E.M. (2003)"	2003	23T	49	0.28	15.37	7.91	0.09	12.6	13.66	0.81	0.07	0.22			52.1	0.03	5.1	3.8	0.11	20.02	17.04	0.12		1.34	1	1598.15
"Wasylenki, L.E., Baker, M.B., Kent, A.J.R., Stolper, E.M. (2003)"	2003	27C	48.2	0.48	15.95	7.3	0.09	12.75	13.89	1.12	0.09	0.12			52.2	0.09	5.15	3.82	0.1	18.72	18.04	0.18		1.2	1	1563.15
"Wasylenki, L.E., Baker, M.B., Kent, A.J.R., Stolper, E.M. (2003)"	2003	28C	48.1	0.58	15.92	7.54	0.15	12.35	13.72	1.38	0.14	0.15			51.7	0.11	5.61	3.88	0.11	19.07	17.6	0.28		1.01	1	1563.15
"Wasylenki, L.E., Baker, M.B., Kent, A.J.R., Stolper, E.M. (2003)"	2003	33C	48	0.63	17.77	7.29	0.1	10.35	13.19	2.08	0.51	0.09			51.2	0.16	5.9	3.9	0.1	19.08	17.84	0.27		0.97	1	1548.15
"Wasylenki, L.E., Baker, M.B., Kent, A.J.R., Stolper, E.M. (2003)"	2003	34C	48.8	0.5	16.87	7.19	0.18	11.51	13.04	1.43	0.33	0.11			51.8	0.11	4.74	3.89	0.12	19.3	17.6	0.31		1.16	1	1548.15
"Wasylenki, L.E., Baker, M.B., Kent, A.J.R., Stolper, E.M. (2003)"	2003	42C	47.9	0.59	17.54	7.28	0.13	11.42	13.25	1.6	0.14	0.11			51.8	0.09	4.87	3.76	0.11	19.71	18.07	0.17		1.21	1	1543.15
Whitaker et al. (2007)	2007	1260-62	46	1.63	16.1	10.49	0.11	8.12	10.21	2.57	0.51				48.9	0.71	8.62	6.96	0.16	17.72	13.86	0.44	0.01		0.93	1533.15
Whitaker et al. (2007)	2007	1260-58	47.1	1.76	16.81	11.1	0.22	7.59	10.18	2.77	0.53				49.8	0.75	8.11	7.29	0.22	16.81	14.87	0.45	0.01		0.93	1513.15
Whitaker et al. (2007)	2007	1260-50	45.1	2.47	15.9	13.21	0.18	6.46	9.13	3.04	0.81				48.5	1.03	7.93	9.45	0.25	15.79	14.3	0.55	0.01		0.93	1493.15
Whitaker et al. (2007)	2007	1260-55	43.8	3.37	15.35	14.66	0.18	5.77	8.44	3.25	1.15				47.2	1.32	9.03	10.48	0.24	14.12	14.94	0.64			0.93	1473.15
Whitaker et al. (2007)	2007	1260-54	41.9	4.57	14.62	15.13	0.25	5.45	8.14	3.02	1.35				46.8	1.98	9.2	10.29	0.23	13.32	15.23	0.66	0.02		0.93	1453.15
Whitaker et al. (2007)	2007	1260-61	41	6.11	13.38	17.04	0.23	4.13	8.75	2.69	1.64				47.2	2.24	8.64	11.18	0.17	13.43	14.73	0.67	0.01		0.93	1433.15
Whitaker et al. (2007)	2007	1260-188	47.3	2.35	15.17	12.14	0.19	6.81	10.43	2.61	0.66				50	1.06	4.99	7.4	0.19	15.65	18.6	0.41			0.68	1473.15
Whitaker et al. (2007)	2007	1260-191	46.7	2.76	14.2	13.14	0.21	6.1	9.99	2.74	0.96				48.7	1.82	6.37	7.39	0.18	14.04	19.1	0.41	0.02		0.68	1453.15
Whitaker et al. (2007)	2007	1260-186	45.4	3.24	14.03	13.85	0.22	5.35	9.48	3.2	1.07				49.1	1.61	5.04	8.86	0.23	14.23	18.43	0.4	0.01		0.68	1433.15
Whitaker et al. (2007)	2007	1260-206	44.5	5.66	12.9	14.96	0.26	4.95	9.11	2.82	1.56				48	2.56	6.58	9.28	0.3	12.8	18.37	0.56	0.05		0.68	1413.15
Whitaker et al. (2007)	2007	1260-83	47.7	2.75	14.07	12.56	0.22	6	10.68	2.89	0.78				50.1	1.28	5.15	6.97	0.11	14.92	19.44	0.3			0.43	1453.15
Whitaker et al. (2007)	2007	1260-77	46.2	3.36	13.8	13.02	0.2	5.23	9.91	3.05	1.04				48.5	1.68	4.79	8.13	0.14	14.08	18.66	0.36	0.01		0.43	1433.15
Whitaker et al. (2007)	2007	1260-79	46	4.33	13.34	13.69	0.2	4.72	9.25	3.03	1.37				49.6	1.82	4.48	9.08	0.21	14.61	18.4	0.43	0.03		0.43	1413.15
Whitaker et al. (2007)	2007	1260-201	46.2	5.21	13.59	13.57	0.13	4.37	8.88	3.05	1.8				47.1	2.77	5.38	10.6	0.25	12.71	18.85	0.41	0.02		0.43	1393.15
Whitaker et al. (2007)	2007	1260-200	47.8	2.85	13.95	12.55	0.17	5.73	10.72	3.07	0.88				49.2	1.73	5.07	7.08	0.18	14.68	20.14	0.35	0.01		0.28	1433.15
Whitaker et al. (2007)	2007	1260-198	47.4	3.42	13.37	13.41	0.22	5.18	10.15	3.12	1.05				49.4	2.15	4.49	7.97	0.15	13.95	20.36	0.32	0.01		0.28	1413.15
Whitaker et al. (2007)	2007	1260-207	48	4.17	13.25	13.39	0.23	4.81	9.57	3.47	1.42				48.8	2.67	5.13	8.69	0.21	12.94	20.62	0.37	0.02		0.28	1393.15
Whitaker et al. (2007)	2007	1260-20	48.1	2.82	12.78	12.44	0.2	6.25	11.2	2.44	0.74				49.1	1.33	4.4	6.76	0.22	14.65	20.36	0.27	0.01		0.0001	1423.15
Whitaker et al. (2007)	2007	1260-24	48	3.13	12.42	13.41	0.2	5.66	10.21	2.5	0.89				49	1.46	3.96	8.46	0.15	14.47	19.3	0.27	0.02		0.0001	1403.15
Whitaker et al. (2007)	2007	1260-27	50	4.45	12.06	11.78	0.17	4.47	7.99	2.99	1.61				47.6	2.16	4.75	9.54	0.27	12.95	19.92	0.34	0.02		0.0001	1373.15
Whitaker et al. (2007)	2007	1260-31	52	3.68	12.29	10.29	0.2	3.85	7.06	3.29	2.14				47.7	2.15	4.27	10.85	0.3	13.02	19.02	0.39	0.05		0.0001	1353.15
Whitaker et al. (2007)	2007	1	48.1	2.82	12.78	12.44	0.2	6.25	11.2	2.44	0.74		0.47		49.1	1.33	4.4	6.76	0.22	14.65	20.36	0.27	0.01		0.0001	1423.15
Whitaker et al. (2007)	2007	2	47.8	2.85	13.95	12.55	0.17	5.73	10.72	3.07	0.88		0.52	0.11	49.2	1.73	5.07	7.08	0.18	14.68	20.14	0.35	0.01		0.28	1433.15
Whitaker et al. (2007)	2007	3	47.4	3.42	13.37	13.41	0.22	5.18	10.15	3.12	1.05		0.74	0.16	49.4	2.15	4.49	7.97	0.15	13.95	20.36	0.32	0.31		0.28	1413.15
Whitaker et al. (2007)	2007	4	48	4.17	13.25	13.39	0.23	4.81	9.57	3.47	1.42		0.86	0.26	48.8	2.67	5.13	8.69	0.21	12.94	20.62	0.37	0.02		0.28	1393.15
